method,run_dir,cda,risk_0,risk_last,delta_last,fdr_abs_mean,esr_mean,rounds_n
FT,results/FT/FT_minimal_2rounds_20260316,0.06500000000000006,0.7,0.745,0.04500000000000004,0.02250000000000002,,2
FT,results/FT/FT_stress_10rounds_20260319,0.0,0.685,0.6683333333333334,-0.016666666666666607,0.009000000000000008,0.643858024691358,10
FT,results/FT/FT_stress_10rounds_20260319_r2,0.0,0.685,0.6683333333333334,-0.016666666666666607,0.009000000000000008,0.643858024691358,10
MEMIT,results/MEMIT/MEMIT_gpt2_3rounds_20260320,0.004999999999999893,0.665,0.6699999999999999,0.004999999999999893,0.004999999999999967,0.9861111111111112,3
MEMIT,results/MEMIT/MEMIT_gpt2_ft_compare_10rounds_20260320,0.019999999999999463,0.685,0.6766666666666666,-0.008333333333333415,0.0031666666666666623,0.9342542989417989,10
MEMIT,results/MEMIT/MEMIT_gpt2_ft_compare_10rounds_20260320_r2,0.004999999999999782,0.685,0.6716666666666666,-0.01333333333333342,0.002666666666666662,0.8795701058201059,10
MEMIT,results/MEMIT/MEMIT_gpt2_ft_compare_10rounds_20260325_r3_shuffle,0.0033333333333331883,0.685,0.6733333333333333,-0.011666666666666714,0.002499999999999991,0.8704734347442681,10
ROME,results/ROME/ROME_gpt2_ft_compare_10rounds_20260325,0.0,0.685,0.6066666666666667,-0.07833333333333337,0.015166666666666639,0.5432958553791887,10
ROME,results/ROME/ROME_gpt2_ft_compare_10rounds_20260325_r2,0.0,0.685,0.6066666666666667,-0.07833333333333337,0.015166666666666639,0.5432958553791887,10
